producto,socio,descripcion,monto_recibo,cobertura,deducible,suma,prima
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,RESPONSABILIDAD CIVIL L.U.C.,0,3000000.0,5506.9643
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,GASTOS MÉDICOS A OCUPANTES,0,300000.0,208.33
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,ASISTENCIA LEGAL ATLAS,0,AMPARADA,277.0
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,ASISTENCIA EN VIAJES ATLAS,0,AMPARADA,190.0
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,EXTENSIÓN DE COBERTURAS,0,AMPARADA,128.99
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,RC POR DAÑOS A TERCEROS LÍMITE ÚNICO Y COMBINADO,0,150000.0,350.0
RESIDENTES QUÁLITAS AUTO,QUÁLITAS,ASISTENCIA VIAL SIN LÍMITE DE EVENTOS.|INSTALACIÓN DE CRISTALES A DOMICILIO.|ENCONTRACK® EN UNIDADES ALTO RIESGO.|PAGO DE CORRALÓN POR ACCIDENTE VIAL.,12868.007,DAÑOS MATERIALES,5,VALOR COMERCIAL,3144.1177
RESIDENTES QUÁLITAS AUTO,QUÁLITAS,ASISTENCIA VIAL SIN LÍMITE DE EVENTOS.|INSTALACIÓN DE CRISTALES A DOMICILIO.|ENCONTRACK® EN UNIDADES ALTO RIESGO.|PAGO DE CORRALÓN POR ACCIDENTE VIAL.,12868.007,ROBO TOTAL,10,VALOR COMERCIAL,2192.2148
RESIDENTES QUÁLITAS AUTO,QUÁLITAS,ASISTENCIA VIAL SIN LÍMITE DE EVENTOS.|INSTALACIÓN DE CRISTALES A DOMICILIO.|ENCONTRACK® EN UNIDADES ALTO RIESGO.|PAGO DE CORRALÓN POR ACCIDENTE VIAL.,12868.007,RESPONSABILIDAD CIVIL POR DAÑOS A TERCEROS,0,3000000.0,3243.7321
RESIDENTES QUÁLITAS AUTO,QUÁLITAS,ASISTENCIA VIAL SIN LÍMITE DE EVENTOS.|INSTALACIÓN DE CRISTALES A DOMICILIO.|ENCONTRACK® EN UNIDADES ALTO RIESGO.|PAGO DE CORRALÓN POR ACCIDENTE VIAL.,12868.007,GASTOS MÉDICOS OCUPANTES,0,300000.0,412.1667
RESIDENTES QUÁLITAS AUTO,QUÁLITAS,ASISTENCIA VIAL SIN LÍMITE DE EVENTOS.|INSTALACIÓN DE CRISTALES A DOMICILIO.|ENCONTRACK® EN UNIDADES ALTO RIESGO.|PAGO DE CORRALÓN POR ACCIDENTE VIAL.,12868.007,GASTOS LEGALES,0,AMPARADA,333.2562
RESIDENTES QUÁLITAS AUTO,QUÁLITAS,ASISTENCIA VIAL SIN LÍMITE DE EVENTOS.|INSTALACIÓN DE CRISTALES A DOMICILIO.|ENCONTRACK® EN UNIDADES ALTO RIESGO.|PAGO DE CORRALÓN POR ACCIDENTE VIAL.,12868.007,ASISTENCIA VIAL QUÁLITAS,0,AMPARADA,492.9
RESIDENTES QUÁLITAS AUTO,QUÁLITAS,ASISTENCIA VIAL SIN LÍMITE DE EVENTOS.|INSTALACIÓN DE CRISTALES A DOMICILIO.|ENCONTRACK® EN UNIDADES ALTO RIESGO.|PAGO DE CORRALÓN POR ACCIDENTE VIAL.,12868.007,EXTENSIÓN DE COBERTURA,0,AMPARADA,274.722
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,DAÑOS MATERIALES,5,VALOR COMERCIAL,6294.6431
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,ROBO TOTAL,10,VALOR COMERCIAL,1656.336
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,RESPONSABILIDAD CIVIL POR DAÑOS A TERCEROS,0,750000.0,2281.0384
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,RESPONSABILIDAD CIVIL PERSONAS,0,100000.0,113.2097
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,RESPONSABILIDAD CIVIL BIENES,0,50000.0,226.4076
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,GASTOS MÉDICOS OCUPANTES,0,300000.0,614.9101
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,EXTENSIÓN DE COBERTURA DE RESPONSABILIDAD CIVIL,0,AMPARADA,199.0155
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,ASISTENCIA LEGAL PROVIAL,0,3000000.0,408.5
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,ASISTENCIA EN VIAJE CDS,0,AMPARADA,536.75
RESIDENTES CHUBB AUTO II,CHUBB,"AJUSTADORES CON GPS, MÁS RÁPIDOS.|SEGUIMIENTO A SINIESTROS EN LÍNEA.|TALLERES CERTIFICADOS, CON GARANTÍA.|ASISTENCIA EN VIAJE, LA MÁS COMPLETA.",15716.5389,RESPONSABILIDAD CIVIL POR FALLECIMIENTO,0,2250000.0,217.93
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,DAÑOS MATERIALES,5,VALOR COMERCIAL,6055.29
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,ROBO TOTAL,10,VALOR COMERCIAL,2760.82
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,RESPONSABILIDAD CIVIL DAÑOS A TERCEROS EN SUS PERSONAS ,0,250000.0,675.36
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,RESPONSABILIDAD CIVIL DAÑOS A TERCEROS EN SUS BIENES  ,0,250000.0,758.68
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,RESPONSABILIDAD CIVIL A TERCEROS CATASTRÓFICA,0,2750000.0,405.96
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,GASTOS MÉDICOS Y FUNERARIOS  ,0,300000.0,651.27
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,SEGURO OBLIGATORIO DE RESPONSABILIDAD CIVIL VEHICULAR,0,150000.0,200.0
RESIDENTES INBURSA AUTO,INBURSA,LA ÚNICA CON GARANTÍAS DE SERVICIO.|LLEGAMOS EN 30 MIN.|PAGO DE INDEMNIZACIÓN EN 48 HORAS.|LAS ENCUESTAS DE SERVICIO NOS RESPALDAN.,14856.5608,CLÁUSULA ADICIONAL DE ASISTENCIA,0,AMPARADA,300.0
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,DAÑOS MATERIALES,5,VALOR COMERCIAL,7356.7924
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,ROBO TOTAL,10,VALOR COMERCIAL,1214.5372
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,RESPONSABILIDAD CIVIL POR DAÑOS A TERCEROS LUC,0,750000.0,2198.5333
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,GASTOS MÉDICOS OCUPANTES,0,300000.0,455.7121
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,EXTENSIÓN DE RESPONSABILIDAD CIVIL,0,AMPARADA,183.0349
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,DEFENSA LEGAL,0,AMPARADA,104.312
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,SERVICIOS DE ASISTENCIA,0,AMPARADA,201.5027
RESIDENTES AXA AUTO II,AXA,PAGO EN EL MOMENTO DEL ACCIDENTE.|REPARACIÓN CON FECHA GARANTIZADA.|PAGO EN 72 HORAS EN PÉRDIDA TOTAL.|ENVÍO DE CHOFER GRATIS.,15593.1846,RESPONSABILIDAD CIVIL PERSONAS EN EXCESO,0,2250000.0,727.9759
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,RESPONSABILIDAD CIVIL CATASTRÓFICA POR MUERTE A TERCERAS PERSONAS,0,3000000.0,487.4996
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,RESPONSABILIDAD CIVIL BIENES,0,1500000.0,2374.5933
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,RESPONSABILIDAD CIVIL PERSONAS,0,1500000.0,1243.5
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,ROBO TOTAL,10,VALOR COMERCIAL,1190.2943
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,DAÑOS MATERIALES,5,VALOR COMERCIAL,4662.9774
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,GASTOS MÉDICOS OCUPANTES,0,"$300,000 POR EVENTO",716.8297
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,ANA ASISTENCIA VIAL Y  VIAJES,0,AMPARADA,661.25
RESIDENTES ANA  AUTO,ANA,RESPONSABILIDAD CIVIL POR REMOLQUES Y CARAVANAS.|NO PAGO DE DEDUCIBLE EN PÉRDIDA TOTAL O PARCIAL OCASIONADA POR ALBOROTOS POPULARES O HUELGAS (MARCHAS).|AUXILIO VIAL ILIMITADO.|COBERTURA A DAÑOS QUE OCASIONE TU HIJO MENOR DE EDAD AL AUTO ASEGURADO POR ACCIDENTE VIAL.,15311.8426,DEFENSA JURÍDICA Y ASISTENCIA LEGAL,0,AMPARADA,862.92
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,DAÑOS MATERIALES UN AÑO VALOR FACTURA,5,VALOR COMERCIAL,5630.4975
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,ROBO TOTAL,10,VALOR COMERCIAL,4886.4802
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,RC DAÑOS A TERCEROS PERSONAS,0,1500000.0,380.2214
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,RC DAÑOS A TERCEROS BIENES,0,1500000.0,3982.5047
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,GASTOS MÉDICOS CONDUCTOR Y OCUPANTES,0,300000.0,394.3031
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,COBERTURA INTEGRAL EN EL EXTRANJERO (CIE),0,AMPARADA,318.78
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,DEFENSA JURÍDICA,0,AMPARADA,249.48
RESIDENTES MAPFRE AUTO,MAPFRE,GM POR ROBO E INTENTO DE ROBO DEL VEHÍCULO.|EXTENSIÓN DE RC Y DEFENSA PARA MOTOS Y BICICLETAS.|MÁS DE 15 SERVICIOS DE ASISTENCIA.|DEFENSA JURÍDICA OTORGADA POR RED PROPIA DE ABOGADOS.,19751.0225,ASISTENCIA COMPLETA,0,AMPARADA,184.4766
RESIDENTES ZURICH AUTO II,ZURICH,"SOLICITA TUS SERVICIOS MÁS FÁCILMENTE DESDE TU CELULAR AL *9191.|ARRIBO DE TU AJUSTADOR EN MÁXIMO 30 MINUTOS.|72 HRS HÁBILES PARA VALUACIÓN.|ASISTENCIA ILIMITADA EN GRUA, PONCHADURA, DESCARGA DE BATERÍA Y ENVÍO DE GASOLINA.",16407.04,DAÑOS MATERIALES,5,VALOR COMERCIAL,5453.4529
RESIDENTES ZURICH AUTO II,ZURICH,"SOLICITA TUS SERVICIOS MÁS FÁCILMENTE DESDE TU CELULAR AL *9191.|ARRIBO DE TU AJUSTADOR EN MÁXIMO 30 MINUTOS.|72 HRS HÁBILES PARA VALUACIÓN.|ASISTENCIA ILIMITADA EN GRUA, PONCHADURA, DESCARGA DE BATERÍA Y ENVÍO DE GASOLINA.",16407.04,ROBO TOTAL,10,VALOR COMERCIAL,1861.3477
RESIDENTES ZURICH AUTO II,ZURICH,"SOLICITA TUS SERVICIOS MÁS FÁCILMENTE DESDE TU CELULAR AL *9191.|ARRIBO DE TU AJUSTADOR EN MÁXIMO 30 MINUTOS.|72 HRS HÁBILES PARA VALUACIÓN.|ASISTENCIA ILIMITADA EN GRUA, PONCHADURA, DESCARGA DE BATERÍA Y ENVÍO DE GASOLINA.",16407.04,RESPONSABILIDAD CIVIL POR DAÑOS A TERCEROS L.U.C.,0,3000000.0,4059.054
RESIDENTES ZURICH AUTO II,ZURICH,"SOLICITA TUS SERVICIOS MÁS FÁCILMENTE DESDE TU CELULAR AL *9191.|ARRIBO DE TU AJUSTADOR EN MÁXIMO 30 MINUTOS.|72 HRS HÁBILES PARA VALUACIÓN.|ASISTENCIA ILIMITADA EN GRUA, PONCHADURA, DESCARGA DE BATERÍA Y ENVÍO DE GASOLINA.",16407.04,GASTOS MÉDICOS OCUPANTES L.U.C.,0,300000.0,552.9679
RESIDENTES ZURICH AUTO II,ZURICH,"SOLICITA TUS SERVICIOS MÁS FÁCILMENTE DESDE TU CELULAR AL *9191.|ARRIBO DE TU AJUSTADOR EN MÁXIMO 30 MINUTOS.|72 HRS HÁBILES PARA VALUACIÓN.|ASISTENCIA ILIMITADA EN GRUA, PONCHADURA, DESCARGA DE BATERÍA Y ENVÍO DE GASOLINA.",16407.04,EXTENSIÓN DE RESPONSABILIDAD CIVIL,0,AMPARADA,76.3269
RESIDENTES ZURICH AUTO II,ZURICH,"SOLICITA TUS SERVICIOS MÁS FÁCILMENTE DESDE TU CELULAR AL *9191.|ARRIBO DE TU AJUSTADOR EN MÁXIMO 30 MINUTOS.|72 HRS HÁBILES PARA VALUACIÓN.|ASISTENCIA ILIMITADA EN GRUA, PONCHADURA, DESCARGA DE BATERÍA Y ENVÍO DE GASOLINA.",16407.04,ASISTENCIA LEGAL,0,AMPARADA,826.32
